cohort,image,n_gt,probe_area,hit300_full,full_conf,full_rank,masked_conf,masked_rank,dconf
dense,0000291_00401_d_0000870,166,40.0,0,0.0,-1,0.0161,75,0.0161
dense,0000291_00401_d_0000870,166,30.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_00401_d_0000870,166,136.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_00401_d_0000870,166,135.0,0,0.0,-1,0.1102,10,0.1102
dense,0000291_00401_d_0000870,166,21.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_00401_d_0000870,166,40.0,0,0.0345,526,0.0974,29,0.0629
dense,0000291_00401_d_0000870,166,24.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_00401_d_0000870,166,102.0,0,0.0,-1,0.0483,34,0.0483
dense,0000291_00401_d_0000870,166,117.0,1,0.4491,74,0.0021,102,-0.447
dense,0000291_00401_d_0000870,166,900.0,1,0.1734,159,0.0684,0,-0.105
dense,0000291_00401_d_0000870,166,1880.0,1,0.8129,16,0.426,2,-0.387
dense,0000291_00401_d_0000870,166,360.0,1,0.7235,26,0.7266,0,0.0031
dense,0000291_00401_d_0000870,166,70.0,1,0.4159,79,0.4208,0,0.0049
dense,0000291_00401_d_0000870,166,90.0,1,0.2063,139,0.1483,8,-0.0581
dense,0000291_00401_d_0000870,166,256.0,1,0.279,110,0.0161,17,-0.2629
dense,0000291_00401_d_0000870,166,960.0,1,0.6546,38,0.5843,2,-0.0703
dense,0000313_06601_d_0000469,165,63.0,0,0.0,-1,0.0,-1,0.0
dense,0000313_06601_d_0000469,165,96.0,0,0.0,-1,0.0,-1,0.0
dense,0000313_06601_d_0000469,165,190.0,0,0.0,-1,0.0016,139,0.0016
dense,0000313_06601_d_0000469,165,21.0,0,0.0,-1,0.0,-1,0.0
dense,0000313_06601_d_0000469,165,32.0,0,0.0,-1,0.0,-1,0.0
dense,0000313_06601_d_0000469,165,378.0,0,0.0302,442,0.0184,50,-0.0117
dense,0000313_06601_d_0000469,165,84.0,0,0.0353,394,0.0036,21,-0.0317
dense,0000313_06601_d_0000469,165,160.0,0,0.0129,778,0.0036,45,-0.0093
dense,0000313_06601_d_0000469,165,49.0,1,0.443,54,0.4833,2,0.0403
dense,0000313_06601_d_0000469,165,304.0,1,0.8588,11,0.8484,0,-0.0104
dense,0000313_06601_d_0000469,165,135.0,1,0.3035,82,0.3532,9,0.0497
dense,0000313_06601_d_0000469,165,54.0,1,0.1181,163,0.1524,21,0.0343
dense,0000313_06601_d_0000469,165,264.0,1,0.3202,79,0.3194,1,-0.0008
dense,0000313_06601_d_0000469,165,1972.0,1,0.7864,25,0.7648,0,-0.0216
dense,0000313_06601_d_0000469,165,90.0,1,0.3125,80,0.1671,9,-0.1454
dense,0000313_06601_d_0000469,165,820.0,1,0.8997,3,0.8979,0,-0.0018
dense,0000001_08414_d_0000013,164,420.0,0,0.0,-1,0.0,-1,0.0
dense,0000001_08414_d_0000013,164,2784.0,0,0.0284,562,0.0,-1,-0.0284
dense,0000001_08414_d_0000013,164,700.0,0,0.0,-1,0.0027,51,0.0027
dense,0000001_08414_d_0000013,164,340.0,0,0.0188,709,0.15,5,0.1312
dense,0000001_08414_d_0000013,164,589.0,0,0.0198,685,0.0267,9,0.0069
dense,0000001_08414_d_0000013,164,312.0,0,0.0521,382,0.0496,10,-0.0025
dense,0000001_08414_d_0000013,164,1512.0,0,0.0535,374,0.411,2,0.3576
dense,0000001_08414_d_0000013,164,390.0,0,0.1633,174,0.2223,1,0.059
dense,0000001_08414_d_0000013,164,496.0,1,0.142,193,0.1351,4,-0.0069
dense,0000001_08414_d_0000013,164,374.0,1,0.1203,220,0.25,5,0.1297
dense,0000001_08414_d_0000013,164,2294.0,1,0.6067,52,0.4767,1,-0.13
dense,0000001_08414_d_0000013,164,2400.0,1,0.6724,40,0.6521,0,-0.0203
dense,0000001_08414_d_0000013,164,2173.0,1,0.7829,24,0.6872,0,-0.0958
dense,0000001_08414_d_0000013,164,368.0,1,0.1265,213,0.0,-1,-0.1265
dense,0000001_08414_d_0000013,164,11934.0,1,0.9458,1,0.9421,0,-0.0037
dense,0000001_08414_d_0000013,164,495.0,1,0.3626,92,0.3263,0,-0.0363
dense,0000213_03920_d_0000243,164,820.0,0,0.0159,715,0.0217,11,0.0059
dense,0000213_03920_d_0000243,164,168.0,0,0.0105,912,0.0195,1,0.009
dense,0000213_03920_d_0000243,164,180.0,0,0.0,-1,0.0,-1,0.0
dense,0000213_03920_d_0000243,164,429.0,0,0.7588,41,0.7798,2,0.021
dense,0000213_03920_d_0000243,164,112.0,0,0.0246,561,0.0963,4,0.0717
dense,0000213_03920_d_0000243,164,1150.0,0,0.0,-1,0.0153,32,0.0153
dense,0000213_03920_d_0000243,164,72.0,0,0.0535,352,0.0,-1,-0.0535
dense,0000213_03920_d_0000243,164,147.0,0,0.1177,204,0.0017,6,-0.116
dense,0000213_03920_d_0000243,164,80.0,1,0.3601,114,0.3804,0,0.0202
dense,0000213_03920_d_0000243,164,900.0,1,0.7078,58,0.561,3,-0.1468
dense,0000213_03920_d_0000243,164,372.0,1,0.4107,100,0.3147,1,-0.096
dense,0000213_03920_d_0000243,164,1250.0,1,0.7565,42,0.7483,1,-0.0082
dense,0000213_03920_d_0000243,164,1224.0,1,0.9036,9,0.8807,0,-0.0229
dense,0000213_03920_d_0000243,164,6519.0,1,0.8054,33,0.8144,0,0.009
dense,0000213_03920_d_0000243,164,1984.0,1,0.1192,202,0.2976,6,0.1783
dense,0000213_03920_d_0000243,164,1127.0,1,0.8056,32,0.6716,4,-0.1341
dense,0000330_04201_d_0000821,162,525.0,0,0.0,-1,0.0,-1,0.0
dense,0000330_04201_d_0000821,162,420.0,0,0.0216,444,0.0,-1,-0.0216
dense,0000330_04201_d_0000821,162,256.0,0,0.0181,493,0.0405,23,0.0224
dense,0000330_04201_d_0000821,162,500.0,0,0.0,-1,0.0,-1,0.0
dense,0000330_04201_d_0000821,162,243.0,0,0.3552,103,0.4096,3,0.0544
dense,0000330_04201_d_0000821,162,546.0,0,0.5951,65,0.145,4,-0.4501
dense,0000330_04201_d_0000821,162,377.0,0,0.014,581,0.0939,4,0.0799
dense,0000330_04201_d_0000821,162,504.0,0,0.0,-1,0.0,-1,0.0
dense,0000330_04201_d_0000821,162,1404.0,1,0.8288,19,0.8381,1,0.0093
dense,0000330_04201_d_0000821,162,320.0,1,0.791,29,0.8172,0,0.0262
dense,0000330_04201_d_0000821,162,693.0,1,0.4702,83,0.5124,0,0.0422
dense,0000330_04201_d_0000821,162,90.0,1,0.1713,146,0.2825,6,0.1111
dense,0000330_04201_d_0000821,162,620.0,1,0.7359,39,0.0,-1,-0.7359
dense,0000330_04201_d_0000821,162,612.0,1,0.8503,17,0.8371,0,-0.0131
dense,0000330_04201_d_0000821,162,476.0,1,0.4593,85,0.5425,2,0.0832
dense,0000330_04201_d_0000821,162,560.0,1,0.704,46,0.0653,18,-0.6388
dense,0000330_01401_d_0000807,161,704.0,0,0.0258,456,0.0,-1,-0.0258
dense,0000330_01401_d_0000807,161,42.0,0,0.0,-1,0.0,-1,0.0
dense,0000330_01401_d_0000807,161,667.0,0,0.013,688,0.0056,63,-0.0074
dense,0000330_01401_d_0000807,161,119.0,0,0.0217,508,0.0404,10,0.0187
dense,0000330_01401_d_0000807,161,704.0,0,0.0489,323,0.0784,5,0.0295
dense,0000330_01401_d_0000807,161,100.0,0,0.0,-1,0.0,-1,0.0
dense,0000330_01401_d_0000807,161,728.0,0,0.0475,327,0.0163,21,-0.0312
dense,0000330_01401_d_0000807,161,198.0,0,0.0151,628,0.1041,5,0.089
dense,0000330_01401_d_0000807,161,7440.0,1,0.7603,42,0.8424,0,0.082
dense,0000330_01401_d_0000807,161,434.0,1,0.4055,100,0.3508,3,-0.0547
dense,0000330_01401_d_0000807,161,140.0,1,0.3991,101,0.2221,3,-0.177
dense,0000330_01401_d_0000807,161,468.0,1,0.8508,19,0.8482,0,-0.0026
dense,0000330_01401_d_0000807,161,144.0,1,0.6416,64,0.6428,0,0.0012
dense,0000330_01401_d_0000807,161,780.0,1,0.0983,208,0.1173,12,0.019
dense,0000330_01401_d_0000807,161,280.0,1,0.7706,39,0.7383,3,-0.0323
dense,0000330_01401_d_0000807,161,968.0,1,0.8762,11,0.8824,0,0.0062
dense,0000291_01001_d_0000873,159,364.0,0,0.0132,741,0.0129,43,-0.0003
dense,0000291_01001_d_0000873,159,119.0,0,0.0,-1,0.0383,27,0.0383
dense,0000291_01001_d_0000873,159,560.0,0,0.0438,307,0.0077,56,-0.0361
dense,0000291_01001_d_0000873,159,322.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_01001_d_0000873,159,156.0,0,0.0,-1,0.026,0,0.026
dense,0000291_01001_d_0000873,159,176.0,0,0.0,-1,0.0333,8,0.0333
dense,0000291_01001_d_0000873,159,288.0,0,0.0,-1,0.0011,160,0.0011
dense,0000291_01001_d_0000873,159,325.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_01001_d_0000873,159,221.0,1,0.1943,123,0.1091,7,-0.0852
dense,0000291_01001_d_0000873,159,414.0,1,0.6986,33,0.0542,19,-0.6445
dense,0000291_01001_d_0000873,159,609.0,1,0.0659,250,0.0099,74,-0.056
dense,0000291_01001_d_0000873,159,646.0,1,0.08,224,0.0438,5,-0.0363
dense,0000291_01001_d_0000873,159,713.0,1,0.4353,69,0.644,0,0.2087
dense,0000291_01001_d_0000873,159,1624.0,1,0.7961,19,0.7742,1,-0.0219
dense,0000291_01001_d_0000873,159,1734.0,1,0.5559,53,0.1193,2,-0.4366
dense,0000291_01001_d_0000873,159,315.0,1,0.7862,21,0.0,-1,-0.7862
dense,0000271_06001_d_0000402,158,84.0,0,0.0,-1,0.0,-1,0.0
dense,0000271_06001_d_0000402,158,240.0,0,0.0323,301,0.0146,32,-0.0176
dense,0000271_06001_d_0000402,158,975.0,0,0.0275,322,0.0059,38,-0.0216
dense,0000271_06001_d_0000402,158,486.0,0,0.0,-1,0.0016,32,0.0016
dense,0000271_06001_d_0000402,158,667.0,0,0.0219,350,0.0352,4,0.0132
dense,0000271_06001_d_0000402,158,143.0,0,0.0,-1,0.0,-1,0.0
dense,0000271_06001_d_0000402,158,102.0,0,0.0,-1,0.0,-1,0.0
dense,0000271_06001_d_0000402,158,192.0,0,0.0043,857,0.0,-1,-0.0043
dense,0000271_06001_d_0000402,158,198.0,1,0.3463,122,0.2674,4,-0.0789
dense,0000271_06001_d_0000402,158,504.0,1,0.3516,121,0.081,5,-0.2706
dense,0000271_06001_d_0000402,158,532.0,1,0.6477,75,0.5894,3,-0.0583
dense,0000271_06001_d_0000402,158,4469.0,1,0.8907,25,0.8882,3,-0.0025
dense,0000271_06001_d_0000402,158,570.0,1,0.7665,66,0.7934,0,0.0269
dense,0000271_06001_d_0000402,158,3430.0,1,0.3709,114,0.5026,4,0.1317
dense,0000271_06001_d_0000402,158,468.0,1,0.5976,87,0.558,3,-0.0396
dense,0000271_06001_d_0000402,158,198.0,1,0.4512,105,0.3274,2,-0.1238
dense,0000215_00000_d_0000256,157,21.0,0,0.042,449,0.1,9,0.0579
dense,0000215_00000_d_0000256,157,176.0,0,0.0,-1,0.0,-1,0.0
dense,0000215_00000_d_0000256,157,420.0,0,0.0,-1,0.0,-1,0.0
dense,0000215_00000_d_0000256,157,27.0,0,0.0,-1,0.0064,68,0.0064
dense,0000215_00000_d_0000256,157,40.0,0,0.0142,925,0.0283,18,0.0141
dense,0000215_00000_d_0000256,157,27.0,0,0.0,-1,0.0,-1,0.0
dense,0000215_00000_d_0000256,157,50.0,0,0.0,-1,0.0,-1,0.0
dense,0000215_00000_d_0000256,157,120.0,0,0.0,-1,0.0,-1,0.0
dense,0000215_00000_d_0000256,157,108.0,1,0.5891,55,0.5602,0,-0.0289
dense,0000215_00000_d_0000256,157,875.0,1,0.7493,36,0.7128,2,-0.0365
dense,0000215_00000_d_0000256,157,247.0,1,0.3595,87,0.2472,4,-0.1123
dense,0000215_00000_d_0000256,157,810.0,1,0.8558,20,0.8054,0,-0.0504
dense,0000215_00000_d_0000256,157,126.0,1,0.7199,42,0.5106,2,-0.2093
dense,0000215_00000_d_0000256,157,3658.0,1,0.9305,4,0.9303,0,-0.0002
dense,0000215_00000_d_0000256,157,342.0,1,0.8555,21,0.6237,0,-0.2319
dense,0000215_00000_d_0000256,157,1100.0,1,0.8586,18,0.8621,0,0.0035
dense,0000291_01401_d_0000875,154,168.0,0,0.0,-1,0.0025,172,0.0025
dense,0000291_01401_d_0000875,154,1134.0,0,0.0432,302,0.0277,36,-0.0155
dense,0000291_01401_d_0000875,154,1029.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_01401_d_0000875,154,80.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_01401_d_0000875,154,750.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_01401_d_0000875,154,234.0,0,0.0438,301,0.0098,54,-0.0341
dense,0000291_01401_d_0000875,154,216.0,0,0.0117,668,0.0111,40,-0.0006
dense,0000291_01401_d_0000875,154,615.0,0,0.0243,433,0.0064,77,-0.0179
dense,0000291_01401_d_0000875,154,1300.0,1,0.7838,23,0.7849,0,0.0012
dense,0000291_01401_d_0000875,154,338.0,1,0.4678,72,0.6335,0,0.1657
dense,0000291_01401_d_0000875,154,210.0,1,0.2566,103,0.0817,3,-0.1748
dense,0000291_01401_d_0000875,154,2583.0,1,0.8333,12,0.7924,0,-0.0408
dense,0000291_01401_d_0000875,154,1160.0,1,0.7167,38,0.6464,0,-0.0703
dense,0000291_01401_d_0000875,154,270.0,1,0.7921,22,0.6537,0,-0.1384
dense,0000291_01401_d_0000875,154,7714.0,1,0.9137,4,0.9223,0,0.0086
dense,0000291_01401_d_0000875,154,288.0,1,0.3422,90,0.2177,5,-0.1244
sparse_placebo,0000313_07001_d_0000471,5,660.0,1,0.6139,0,0.4234,2,-0.1905
sparse_placebo,0000313_07001_d_0000471,5,945.0,1,0.3918,3,0.1311,1,-0.2607
sparse_placebo,0000313_07001_d_0000471,5,1100.0,1,0.4322,2,0.3697,0,-0.0625
sparse_placebo,0000313_07001_d_0000471,5,640.0,1,0.3581,4,0.0221,11,-0.336
sparse_placebo,0000313_07001_d_0000471,5,950.0,1,0.6085,1,0.6118,0,0.0033
sparse_placebo,0000283_00401_d_0000676,6,7744.0,1,0.6447,3,0.6895,1,0.0448
sparse_placebo,0000283_00401_d_0000676,6,396.0,1,0.5998,4,0.6846,0,0.0848
sparse_placebo,0000283_00401_d_0000676,6,29260.0,1,0.8065,1,0.8386,0,0.0321
sparse_placebo,0000283_00401_d_0000676,6,7920.0,1,0.9182,0,0.9216,0,0.0034
sparse_placebo,0000283_00401_d_0000676,6,2312.0,1,0.7664,2,0.74,0,-0.0264
sparse_placebo,0000283_00401_d_0000676,6,1564.0,1,0.5212,5,0.4125,1,-0.1088
sparse_placebo,0000276_05201_d_0000533,6,288.0,1,0.8317,2,0.8027,0,-0.029
sparse_placebo,0000276_05201_d_0000533,6,306.0,1,0.5278,4,0.4607,1,-0.0671
sparse_placebo,0000276_05201_d_0000533,6,11904.0,1,0.9409,1,0.9396,0,-0.0013
sparse_placebo,0000276_05201_d_0000533,6,2760.0,1,0.7329,3,0.2546,0,-0.4783
sparse_placebo,0000276_05201_d_0000533,6,9048.0,1,0.9517,0,0.9475,0,-0.0043
sparse_placebo,0000276_05201_d_0000533,6,56.0,1,0.2251,5,0.2082,0,-0.0169
sparse_placebo,0000316_02201_d_0000530,7,1311.0,1,0.2059,5,0.4578,2,0.2519
sparse_placebo,0000316_02201_d_0000530,7,1260.0,1,0.8329,1,0.8301,0,-0.0028
sparse_placebo,0000316_02201_d_0000530,7,11088.0,1,0.9269,0,0.929,0,0.0022
sparse_placebo,0000316_02201_d_0000530,7,2691.0,1,0.6302,3,0.6597,0,0.0295
sparse_placebo,0000316_02201_d_0000530,7,984.0,1,0.1586,7,0.2293,2,0.0708
sparse_placebo,0000316_02201_d_0000530,7,741.0,1,0.3033,4,0.3366,0,0.0333
sparse_placebo,0000316_02201_d_0000530,7,1242.0,1,0.8321,2,0.83,0,-0.0022
sparse_placebo,0000276_05801_d_0000536,7,414.0,1,0.8624,0,0.8475,0,-0.0149
sparse_placebo,0000276_05801_d_0000536,7,494.0,1,0.1545,7,0.1293,2,-0.0251
sparse_placebo,0000276_05801_d_0000536,7,1015.0,1,0.1651,6,0.0021,35,-0.163
sparse_placebo,0000276_05801_d_0000536,7,540.0,1,0.4536,2,0.4928,0,0.0392
sparse_placebo,0000276_05801_d_0000536,7,255.0,1,0.5575,1,0.5369,0,-0.0206
sparse_placebo,0000276_05801_d_0000536,7,72.0,1,0.3524,3,0.2583,1,-0.094
sparse_placebo,0000276_05801_d_0000536,7,42.0,1,0.0099,64,0.0,-1,-0.0099
sparse_placebo,0000276_05001_d_0000532,7,1530.0,1,0.9105,0,0.8974,0,-0.0131
sparse_placebo,0000276_05001_d_0000532,7,144.0,1,0.5661,4,0.3429,2,-0.2232
sparse_placebo,0000276_05001_d_0000532,7,289.0,1,0.6804,3,0.4267,0,-0.2537
sparse_placebo,0000276_05001_d_0000532,7,90.0,1,0.4803,5,0.3734,0,-0.1069
sparse_placebo,0000276_05001_d_0000532,7,121.0,1,0.3531,7,0.3009,3,-0.0521
sparse_placebo,0000276_05001_d_0000532,7,4200.0,1,0.8038,2,0.8368,0,0.033
sparse_placebo,0000276_05001_d_0000532,7,780.0,1,0.8111,1,0.6544,0,-0.1567
sparse_placebo,0000021_00800_d_0000003,7,598.0,1,0.7759,1,0.803,0,0.0271
sparse_placebo,0000021_00800_d_0000003,7,100.0,1,0.0271,24,0.4354,1,0.4082
sparse_placebo,0000021_00800_d_0000003,7,588.0,1,0.6319,3,0.7096,1,0.0777
sparse_placebo,0000021_00800_d_0000003,7,608.0,1,0.33,7,0.0126,16,-0.3174
sparse_placebo,0000021_00800_d_0000003,7,828.0,1,0.7787,0,0.6784,0,-0.1003
sparse_placebo,0000021_00800_d_0000003,7,460.0,1,0.258,9,0.1079,4,-0.1501
sparse_placebo,0000021_00800_d_0000003,7,261.0,1,0.7,2,0.599,0,-0.101
sparse_placebo,0000335_06469_d_0000076,8,12638.0,1,0.8709,3,0.8418,1,-0.0291
sparse_placebo,0000335_06469_d_0000076,8,600.0,1,0.374,5,0.6007,0,0.2267
sparse_placebo,0000335_06469_d_0000076,8,645.0,1,0.374,5,0.6575,0,0.2835
sparse_placebo,0000335_06469_d_0000076,8,893.0,1,0.8335,4,0.8465,0,0.0131
sparse_placebo,0000335_06469_d_0000076,8,546.0,1,0.2389,8,0.1591,0,-0.0798
sparse_placebo,0000335_06469_d_0000076,8,2176.0,1,0.8779,2,0.8739,0,-0.004
sparse_placebo,0000335_06469_d_0000076,8,17622.0,1,0.9139,1,0.9082,0,-0.0057
sparse_placebo,0000335_06469_d_0000076,8,1972.0,1,0.9292,0,0.9289,0,-0.0003
sparse_placebo,0000283_00801_d_0000678,8,30.0,0,0.0,-1,0.0,-1,0.0
sparse_placebo,0000283_00801_d_0000678,8,108.0,0,0.0,-1,0.0,-1,0.0
sparse_placebo,0000283_00801_d_0000678,8,56.0,1,0.0103,22,0.0,-1,-0.0103
sparse_placebo,0000283_00801_d_0000678,8,2350.0,1,0.7949,0,0.8961,0,0.1012
sparse_placebo,0000283_00801_d_0000678,8,90.0,1,0.3212,4,0.2168,0,-0.1044
sparse_placebo,0000283_00801_d_0000678,8,56.0,1,0.5722,2,0.59,0,0.0179
sparse_placebo,0000283_00801_d_0000678,8,750.0,1,0.5984,1,0.6469,0,0.0485
sparse_placebo,0000283_00801_d_0000678,8,110.0,1,0.5496,3,0.4256,1,-0.124
sparse_placebo,0000242_04116_d_0000013,8,1749.0,1,0.5734,3,0.5966,1,0.0232
sparse_placebo,0000242_04116_d_0000013,8,90.0,1,0.0159,26,0.0353,2,0.0194
sparse_placebo,0000242_04116_d_0000013,8,126.0,1,0.3351,4,0.3179,0,-0.0171
sparse_placebo,0000242_04116_d_0000013,8,144.0,1,0.008,40,0.0,-1,-0.008
sparse_placebo,0000242_04116_d_0000013,8,256.0,1,0.8498,2,0.7355,0,-0.1143
sparse_placebo,0000242_04116_d_0000013,8,104.0,1,0.0161,25,0.0,-1,-0.0161
sparse_placebo,0000242_04116_d_0000013,8,2736.0,1,0.9329,0,0.9348,0,0.0019
sparse_placebo,0000242_04116_d_0000013,8,1715.0,1,0.9251,1,0.9065,0,-0.0185
sparse_placebo,0000026_00000_d_0000024,8,13530.0,1,0.9397,3,0.9413,0,0.0016
sparse_placebo,0000026_00000_d_0000024,8,18540.0,1,0.9469,1,0.9489,0,0.002
sparse_placebo,0000026_00000_d_0000024,8,1188.0,1,0.5797,7,0.6319,0,0.0522
sparse_placebo,0000026_00000_d_0000024,8,22470.0,1,0.945,2,0.9463,1,0.0013
sparse_placebo,0000026_00000_d_0000024,8,35502.0,1,0.8405,6,0.8432,0,0.0027
sparse_placebo,0000026_00000_d_0000024,8,9075.0,1,0.9486,0,0.9492,0,0.0006
sparse_placebo,0000026_00000_d_0000024,8,14104.0,1,0.9089,5,0.9141,1,0.0052
sparse_placebo,0000026_00000_d_0000024,8,16170.0,1,0.9358,4,0.9371,1,0.0013
sparse_placebo,0000024_01543_d_0000015,8,1575.0,1,0.7028,3,0.8961,0,0.1933
sparse_placebo,0000024_01543_d_0000015,8,1239.0,1,0.7546,0,0.7575,0,0.0029
sparse_placebo,0000024_01543_d_0000015,8,1380.0,1,0.5866,4,0.4818,0,-0.1047
sparse_placebo,0000024_01543_d_0000015,8,1608.0,1,0.5866,4,0.5723,0,-0.0142
sparse_placebo,0000024_01543_d_0000015,8,2016.0,1,0.0764,9,0.0,-1,-0.0764
sparse_placebo,0000024_01543_d_0000015,8,972.0,1,0.7063,1,0.575,1,-0.1313
sparse_placebo,0000024_01543_d_0000015,8,2646.0,1,0.1242,7,0.1891,3,0.065
sparse_placebo,0000024_01543_d_0000015,8,1700.0,1,0.7046,2,0.4952,0,-0.2094
sparse_placebo,0000360_04705_d_0000737,9,2668.0,1,0.8057,2,0.8165,0,0.0108
sparse_placebo,0000360_04705_d_0000737,9,4704.0,1,0.7431,4,0.4662,1,-0.2769
sparse_placebo,0000360_04705_d_0000737,9,2160.0,1,0.8031,3,0.732,0,-0.0711
sparse_placebo,0000360_04705_d_0000737,9,2115.0,1,0.0109,32,0.263,2,0.2521
sparse_placebo,0000360_04705_d_0000737,9,10767.0,1,0.7378,5,0.3809,0,-0.3569
sparse_placebo,0000360_04705_d_0000737,9,2501.0,1,0.8528,0,0.8608,0,0.008
sparse_placebo,0000360_04705_d_0000737,9,4081.0,1,0.8083,1,0.6854,1,-0.123
sparse_placebo,0000360_04705_d_0000737,9,11856.0,1,0.644,6,0.9192,0,0.2752
sparse_placebo,0000360_04705_d_0000737,9,3250.0,1,0.5546,7,0.4461,2,-0.1086
sparse_placebo,0000316_02001_d_0000529,9,10375.0,0,0.0,-1,0.0088,4,0.0088
sparse_placebo,0000316_02001_d_0000529,9,493.0,1,0.4567,4,0.3961,0,-0.0606
sparse_placebo,0000316_02001_d_0000529,9,180.0,1,0.1614,11,0.2131,2,0.0517
sparse_placebo,0000316_02001_d_0000529,9,1175.0,1,0.8911,0,0.8837,0,-0.0074
sparse_placebo,0000316_02001_d_0000529,9,682.0,1,0.129,15,0.1835,2,0.0545
sparse_placebo,0000316_02001_d_0000529,9,1824.0,1,0.5776,3,0.6471,0,0.0694
sparse_placebo,0000316_02001_d_0000529,9,1596.0,1,0.0067,117,0.0057,24,-0.0009
sparse_placebo,0000316_02001_d_0000529,9,462.0,1,0.5883,2,0.5011,0,-0.0872
sparse_placebo,0000316_02001_d_0000529,9,3828.0,1,0.8256,1,0.8317,1,0.0061
sparse_placebo,0000283_00601_d_0000677,9,2480.0,1,0.8828,0,0.8834,0,0.0006
sparse_placebo,0000283_00601_d_0000677,9,156.0,1,0.3084,7,0.2617,0,-0.0467
sparse_placebo,0000283_00601_d_0000677,9,546.0,1,0.5661,4,0.4305,0,-0.1356
sparse_placebo,0000283_00601_d_0000677,9,81.0,1,0.1967,10,0.307,0,0.1103
sparse_placebo,0000283_00601_d_0000677,9,72.0,1,0.3256,6,0.0,-1,-0.3256
sparse_placebo,0000283_00601_d_0000677,9,462.0,1,0.8476,2,0.7563,0,-0.0912
sparse_placebo,0000283_00601_d_0000677,9,108.0,1,0.0053,57,0.0,-1,-0.0053
sparse_placebo,0000283_00601_d_0000677,9,728.0,1,0.8236,3,0.7663,1,-0.0573
sparse_placebo,0000283_00601_d_0000677,9,2250.0,1,0.8745,1,0.8008,0,-0.0737
sparse_placebo,0000242_03199_d_0000011,9,1116.0,1,0.1568,7,0.0495,1,-0.1074
sparse_placebo,0000242_03199_d_0000011,9,2240.0,1,0.844,2,0.8861,0,0.0422
sparse_placebo,0000242_03199_d_0000011,9,208.0,1,0.5271,5,0.5313,0,0.0043
sparse_placebo,0000242_03199_d_0000011,9,360.0,1,0.8502,1,0.8379,0,-0.0123
sparse_placebo,0000242_03199_d_0000011,9,546.0,1,0.4985,6,0.2499,0,-0.2485
sparse_placebo,0000242_03199_d_0000011,9,1504.0,1,0.9113,0,0.9124,0,0.0011
sparse_placebo,0000242_03199_d_0000011,9,414.0,1,0.6351,3,0.5777,0,-0.0574
sparse_placebo,0000242_03199_d_0000011,9,525.0,1,0.6108,4,0.5466,0,-0.0642
sparse_placebo,0000242_03199_d_0000011,9,420.0,1,0.0316,12,0.0195,3,-0.0121
sparse_placebo,0000026_02000_d_0000028,9,2280.0,1,0.6808,9,0.6723,0,-0.0085
sparse_placebo,0000026_02000_d_0000028,9,19404.0,1,0.8837,3,0.9072,1,0.0235
sparse_placebo,0000026_02000_d_0000028,9,9504.0,1,0.9521,0,0.9492,0,-0.0029
sparse_placebo,0000026_02000_d_0000028,9,10440.0,1,0.9043,2,0.9076,1,0.0032
sparse_placebo,0000026_02000_d_0000028,9,3136.0,1,0.8482,4,0.7649,0,-0.0833
sparse_placebo,0000026_02000_d_0000028,9,21120.0,1,0.8407,5,0.8746,0,0.0339
sparse_placebo,0000026_02000_d_0000028,9,17334.0,1,0.761,6,0.8623,0,0.1013
sparse_placebo,0000026_02000_d_0000028,9,16456.0,1,0.7132,8,0.9501,0,0.2369
sparse_placebo,0000026_02000_d_0000028,9,17284.0,1,0.9454,1,0.9561,0,0.0107
sparse_placebo,0000276_05601_d_0000535,10,48.0,0,0.0,-1,0.0,-1,0.0
sparse_placebo,0000276_05601_d_0000535,10,35.0,0,0.0,-1,0.0038,10,0.0038
sparse_placebo,0000276_05601_d_0000535,10,30.0,0,0.0,-1,0.0,-1,0.0
sparse_placebo,0000276_05601_d_0000535,10,195.0,1,0.7592,0,0.5912,0,-0.168
sparse_placebo,0000276_05601_d_0000535,10,143.0,1,0.4283,3,0.2237,0,-0.2046
sparse_placebo,0000276_05601_d_0000535,10,720.0,1,0.3379,4,0.0,-1,-0.3379
sparse_placebo,0000276_05601_d_0000535,10,399.0,1,0.3112,5,0.0,-1,-0.3112
sparse_placebo,0000276_05601_d_0000535,10,342.0,1,0.4978,2,0.5605,1,0.0628
sparse_placebo,0000276_05601_d_0000535,10,154.0,1,0.6378,1,0.4439,1,-0.1938
sparse_placebo,0000276_05601_d_0000535,10,35.0,1,0.0035,112,0.0044,21,0.0009
sparse_placebo,0000276_04801_d_0000531,10,350.0,1,0.4989,7,0.5275,0,0.0286
sparse_placebo,0000276_04801_d_0000531,10,140.0,1,0.4066,8,0.3685,0,-0.0381
sparse_placebo,0000276_04801_d_0000531,10,2294.0,1,0.5639,5,0.8236,0,0.2597
sparse_placebo,0000276_04801_d_0000531,10,8588.0,1,0.6444,4,0.5012,0,-0.1432
